"","FECHA","CR","SV","GT","HN","NI","DO","PA","date"
"1","2015-I","14168.89","5617.58","15439.47","5192.21","3096.28","17078.50","12985.76",2015-03-01
"2","2015-II","13831.41","5870.23","15133.49","5115.38","3064.51","17619.47","13272.15",2015-06-01
"3","2015-III","13777.61","5828.24","15495.93","5060.94","3222.77","17483.30","13682.92",2015-09-01
"4","2015-IV","14663.82","6122.18","16118.95","5603.33","3367.32","19056.82","14150.89",2015-12-01
"5","2016-I","14714.36","5695.04","16133.22","5242.19","3258.49","18261.45","13838.88",2016-03-01
"6","2016-II","14214.06","6181.73","16006.38","5369.14","3254.68","18978.87","14144.34",2016-06-01
"7","2016-III","14165.26","5962.28","16491.02","5230.30","3321.03","18607.84","14543.43",2016-09-01
"8","2016-IV","15737.39","6352.37","17443.36","5866.00","3448.08","19913.53","15381.05",2016-12-01
"9","2017-I","15440.47","5934.51","17735.29","5662.84","3457.50","19250.67","15173.27",2017-03-01
"10","2017-II","14718.96","6271.36","17396.03","5610.59","3343.61","19833.01","15232.40",2017-06-01
"11","2017-III","14486.41","6150.90","17866.82","5594.87","3358.36","19563.92","15513.70",2017-09-01
"12","2017-IV","15882.46","6622.41","18657.56","6269.49","3623.52","21413.26","16283.36",2017-12-01
"13","2018-I","16383.35","6157.70","18602.59","5913.52","3460.21","20598.31","15947.42",2018-03-01
"14","2018-II","15657.63","6527.73","18090.89","5904.11","3136.26","21546.37","15731.75",2018-06-01
"15","2018-III","15088.01","6480.45","18069.21","5758.36","3172.93","20934.31","16194.90",2018-09-01
"16","2018-IV","15310.53","6854.97","18560.63","6485.81","3259.37","22528.04","17055.34",2018-12-01
"17","2019-I","15671.16","6407.42","18792.15","6086.43","3109.31","21615.21","16425.46",2019-03-01
"18","2019-II","15507.33","6719.48","18902.20","6078.50","3089.76","22155.92","16237.62",2019-06-01
"19","2019-III","16062.76","6691.64","19221.45","6097.52","3136.26","21880.99","16690.82",2019-09-01
"20","2019-IV","17218.00","7062.60","20254.39","6823.53","3359.17","23334.94","17630.50",2019-12-01
"21","2020-I","17263.85","6448.96","19757.77","6236.90","3238.42","21224.30","16643.43",2020-03-01
"22","2020-II","14495.67","5356.91","17744.96","5102.35","2907.86","17128.96","9580.81",2020-06-01
"23","2020-III","14584.45","6117.43","19438.58","5823.73","3154.44","18829.12","12425.48",2020-09-01
"24","2020-IV","16061.64","7006.78","20759.51","6680.47","3375.11","21755.72","15327.31",2020-12-01
"25","2021-I","16107.32","6827.54","20947.02","6671.52","3388.48","21309.73","14994.07",2021-03-01
"26","2021-II","15335.73","7268.72","20873.74","6872.76","3418.13","23076.07","13883.56",2021-06-01
"27","2021-III","16019.56","7369.79","21482.98","7035.17","3477.49","23093.45","16167.90",2021-09-01
"28","2021-IV","17123.78","7985.19","22750.44","7906.18","3858.17","27031.45","18559.54",2021-12-01
"29","2022-I","16930.69","7745.54","23189.82","7571.81","3720.36","26059.63","17623.75",2022-03-01
"30","2022-II","15677.68","8103.90","23177.47","7629.94","3838.32","27648.50","15660.81",2022-06-01
"31","2022-III","16665.03","8106.75","23761.51","7745.82","3890.95","28342.45","18056.68",2022-09-01
"32","2022-IV","19297.85","8532.53","24851.13","8762.35","4218.17","31908.75","--",2022-12-01
